question,answer,A,B,C,D,Category,Human Accuracy
송·수신 단말장치 사이에서 데이터를 전송 할 때마다 통신경로를 설정하여 데이터를 교환하는 방식은?,3,메시지 교환방식,패킷 교환방식,회선 교환방식,포인트 투 포인트 방식,Information Technology,0.4736999999999999
2진수 비트스트림 11000001 11000010을 1의 보수(1′s complement) 연산 수행하였을 때 결과 값은?,2,11000001 11000010,00111110 00111101,00111110 11000010,11000001 00111101,Information Technology,0.7778
집적회로의 일반적인 특징에 대한 설명으로 옳은 것은?,3,수명이 짧다.,크기가 대형이다.,동작속도가 빠르다.,외부와의 연결이 복잡하다.,Information Technology,0.6
자료 구조의 구성 단계를 옳게 표현한 것은?,2,byte → bit → word → file → record,bit → byte → word → record → file,bit → word → byte → record → file,bit → byte → record → file → word,Information Technology,0.65
1×4 디멀티플렉서(DMUX : demultiplexer)에서 필요한 선택  신호의 개수는?,2,1개,2개,4개,8개,Information Technology,0.7
에러의 검출과 동시에 교정까지 가능한 코드는?,1,해밍코드,3초과 코드,그레이코드,시프트 카운터 코드,Information Technology,0.92
주기억장치의 크기가 4Kbyte 일 때 번지(ADDRESS)수는?,4,1번지에서 4000번지까지,0번지에서 3999번지까지,1번지에서 4095번지까지,0번지에서 4095번지까지,Information Technology,0.4667
"미국에서 개발한 표준 코드로서 개인용 컴퓨터에 주로 사용되며, 7비트로 구성되어 128가지의 문자를 표현할 수 있는 코드는?",3,EBCDIC,UNICODE,ASCII,BCD,Information Technology,0.9
BCD 코드에 의한 수 0010 0101 0011을 10진수로 옳게 나타낸것은?,4,(250)10,(251)10,(252)10,(253)10,Information Technology,0.875
8비트 컴퓨터의 Register에 관한 설명으로 옳지 않은 것은?,3,Accumulator는 8비트 레지스터이다.,프로그램카운터(PC)는 16비트 레지스터이다.,인터럽트 발생 시 복귀할 주소는 PC에 저장한다.,명령코드는 Instruction Register에 저장된다.,Information Technology,0.4
일반적인 음의 정수를 컴퓨터 내부에 표현하는 방법이 아닌 것은?,4,부호와 절대값,부호와 1의 보수,부호와 2의 보수,부호와 3의 보수,Information Technology,0.6111
명령어가 일상적인 문장에 가까워 사람이 이해하기 쉬운 프로그래밍 언어의 형태는?,2,저급언어,고급언어,어셈블리언어,기계어,Information Technology,0.8332999999999999
운영체제의 역할과 거리가 먼 것은?,3,사용자와 시스템간의 인터페이스 역할,데이터 공유 및 주변장치 관리,원시 프로그램의 목적 프로그램 변환,차원의 효율적 운영 및 자원 스케줄링,Information Technology,0.5556
하나의 시스템을 여려 명의 사용자가 시간을 분할하여 동시에 작업할 수 있도록 하는 방식은?,3,Distributed System,Batch Processing System,Time Sharing System,Real TIme System,Information Technology,0.6315999999999999
C언어에서 사용되는 문자열 출력 함수는?,4,putchar(),prints(),printchar(),puts(),Information Technology,0.8824
프로그램 문서화의 목적과 거리가 먼 것은?,1,프로그램 개발 과정의 요식 행위화,프로그램 개발 중 변경에 따른 혼란 방지,프로그램 이관의 용이함 도모,프로그램 유지보수의 효율화,Information Technology,0.6111
운영체제의 성능 평가 사항과 거리가 먼 것은?,2,Availability,Cost,Turn Around Time,Throughput,Information Technology,0.7368000000000001
C언어에서 사용되는 이스케이프 시퀀스(Escape Sequence)에 대한 설명으로 옳지 않은 것은?,4,\r : carriage return,\t : tab,\n : new line,\b : backup,Information Technology,0.4443999999999999
원시 프로그램을 한 문장씩 번역하여 즉시 실행하는 방식의 언어번역 프로그램은?,4,컴파일러,링커,로더,인터프리터,Information Technology,0.6111
(27)10를 2진수로 변환하면?,1,(11011)2,(11001)2,(11000)2,(10111)2,Information Technology,0.8125
의 보수를 구하면?,2,Y = A + B,Y = AB,Y = A,Y = B,Information Technology,0.4167
"안정된 상태가 없는 회로이며, 직사각형파 발생회로 또는 시간 발생기로 사용되는 회로는?",2,플립플롭,비안정 멀티바이브레이터,쌍안정 멀티바이브레이터,단안정 멀티바이브레이,Information Technology,0.6842
디지털 장치에서 많이 쓰이는 회로로서 클록 펄스의 수를 세거나 제어 장치에서 중요한 기능을 수행하는 것은?,1,계수회로,발진회로,해독기,부호기,Information Technology,0.7646999999999999
레지스터를 구성하는데 가장 많이 사용되는 회로는?,4,Encoder,Decoder,Half Adder,Flip-Flop,Information Technology,0.7222
2진 리플 계수기에 사용된 플립플롭이 3개 일 때 계수할 수 있는 가장 큰 수는?,3,5,6,7,8,Information Technology,0.4375
로더의 기능 중 실행 프로그램에 할당된 기억공간에 실제로 옮기는 기능은?,1,Loading,Allocation,Linking,Relocation,Information Technology,0.65
파일 시스템의 기능 및 특징이 아닌 것은?,3,파일을 안정하게 사용할 수 있도록 보호되어야 한다.,"사용자가 파일을 생성, 수정, 제거할 수 있도록 한다.",파일은 주로 주기억장치에 저장하며 사용한다.,파일의 정보가 손실되지 않도록 데이터 무결성을 유지한다.,Information Technology,0.6923
프로세스(Process)의 정의 중 틀린 것은?,4,PCB를 가진 프로그램,프로시저가 활동중인 것,프로세서가 할당 되는 실체,동기적 행위를 일이키는 주체,Information Technology,0.5128
언어변역 프로그램이 아닌 것은?,1,linker,compiler,assembler,interpreter,Information Technology,0.7646999999999999
가상메모리의 특징으로 틀린 것은?,4,보조기억장치를 이용한 주기억장치의 용량 확보이다.,오버레이(Overlay) 문제가 자동적으로 해결된다.,주기억장치 이용률과 다중 프로그래밍의 효율을 높일 수 있다.,사용가능한 보조기억장치는 SASD 장치이어야 한다.,Information Technology,0.4847999999999999
시스템 소프트웨어 구성 중 제어 프로그램이 아닌 것은?,2,감시 프로그램,서비스 프로그램,작업 제어 프로그램,자료 관리 프로그램,Information Technology,0.5313
이중 패스 어셈블러의 특징 중 틀린 것은?,1,프로그램 크기가 작다.,별도의 다른 코드와 결합할 수 있다.,기호 테이블을 이용하여 목적 프로그램을 생성한다.,기호를 정의하기 전에 사용 가능하므로 프로그램 작성이 용이하다.,Information Technology,0.5357
프로그램밍 언어 중 모델의 계산을 위해 기호논리와 집합론을 이용하는 언어는?,3,C언어,Smalltalk,PROLOG,LISP언어,Information Technology,0.5556
절대로더(Absolute Loader)에서 할당과 연결을 수행하는 주체는?,3,로더,어셈블러,프로그래머,어셈블러와 로더,Information Technology,0.5417000000000001
어셈블리어에서 사용되는 명령 중 의사명령이 아닌 것은?,2,END,BNE,EQU,DROP,Information Technology,0.3913
문맥제어 언어에 대한 설명으로 틀린 것은?,1,기종에 상관없이 동일하다.,프로그램의 순서적 실향을 지시한다.,프로그램 및 시스템 운영에 관한 지시를 운영체제에게 전달한다.,입출력 장치의 배당을 위한 프로그램에서 정의된 논리적 장치와 물리적 장치를 연결한다.,Information Technology,0.7105
시스템 소프트웨어에 대한 설명으로 틀린 것은?,3,시스템의 제어 및 관리를 수행한다.,하드웨어와 응용소프트웨어를 연결하는 역할을 수행한다.,"항공예약, 자재관리, 인사관리 시스템 등이 시스템 소프트웨어의 대표적인 사례이다.","프로그램을 주기억장치에 적재시키거나 인터럽트 관리, 장치관리 등의 기능을 담당한다.",Information Technology,0.7895
Global Reference를 절대번지로 바꾸거나 Kinking와 상대번지를 바꾸는 과정 등과 같이 변하기 쉬운 것을 확고하게 결정짓는 것을 무엇이라고 하는가?,1,Binding,Thrashing,Paging,Parsing,Information Technology,0.7568
어셈블리어에서 논리적인 비교와 결과가 양수 또는 음수인지를 검사하여 상태 레지스터의 상태 비트를 설정하는 명령은?,4,NEG,CWD,LEA,TEST,Information Technology,0.5640999999999999
교착 상태 발생의 필요조건이 아닌 것은?,1,선점 조건,상호 베제 조건,환형 대기 조건,점유 및 대기 조건,Information Technology,0.6857
프로그램에서 오류가 발생한 위치와 오류가 발생하게 된 원인을 추적하기 위하여 사용되는 것은?,2,text editor,tracer,linker,binder,Information Technology,0.8856999999999999
