question,answer,A,B,C,D,Category,Human Accuracy
특허요건으로서 산업상 이용가능성에 관한 설명으로 옳지 않은 것은? (다툼이 있는 경우에는 판례에 의함),3,"의사 또는 의사의 지시를 받은 자의 행위가 아니라 할지라도 메스 등 의료기기를 이용하여 인간을 수술하거나 의약품을 사용하여 인간을 치료하는 방법은 의료행위에 해당하므로, 산업상 이용 가능한 발명으로 인정되지 않는다.","인체를 처치하는 방법이 치료효과와 미용효과와 같은 비치료효과를 동시에 가지고 있는 경우에 치료효과와 비치료효과를 구별 및 분리할 수 없는 처치방법은 치료방법으로 간주되므로, 산업상 이용 가능한 발명으로 인정되지 않는다.","인간으로부터 채취된 혈액, 피부, 세포, 종양, 조직 등을 처리하는 방법이 의료행위와는 분리 가능한 별개의 단계로 이루어진 경우라도 인체를 대상으로 하는 발명이므로 산업상 이용 가능한 발명으로 인정되지 않는다.","인간을 수술 및 치료하는 방법의 발명인 경우에는 산업상 이용가능성이 없는 것으로 보지만, 인간 이외의 동물에만 한정된다는 사실이 특허청구범위에 명시되어 있으면 산업상 이용할 수 있는 발명으로 인정된다.",Patent,0.0
특허법상 기간에 관한 설명으로 옳지 않은 것은?,1,"특허법상 기간에는 법정기간과 지정기간이 있으며, 법정기간에는 분할출원기간, 변경출원기간, 절차의 보정기간 등이 있다.","국내우선권주장에 있어서 선출원의 취하 간주일, 특허권 존속기간의 만료일은 기간의 말일이 공휴일이라 하더라도 기간의 말일이 그 다음날로 연장되지 않는다.","전자문서를 제출하려는 자가 기한 전에 정보통신망을 이용하여 전자문서를 발송하였으나 특허청장이 사전에 공지하지 않은 전산장애로 인하여 기한 내에 제출되지 않은 경우, 기간은 그 장애가 제거된 날의 다음 날로 만료한다.",특허청장은 특허에 관한 절차를 밟을 기간을 정한 때에는 청구에 따라 그 기간을 단축 또는 연장하거나 직권으로 그 기간을 연장할 수 있다.,Patent,1.0
특허거절결정 및 이에 대한 불복심판에 관한 설명으로 옳지 않은 것은? (다툼이 있는 경우에는 판례에 의함),3,다수의 청구항이 있는 특허출원에 있어서 단지 하나의 청구항에만 거절이유가 있는 경우라도 그 특허출원 전체에 대하여 특허거절결정을 하여야 한다.,"특허법 제36조(선출원)를 이유로 하는 거절결정에 대하여 불복심판을 제기하지 않아 거절결정이 확정된 이후에 선출원된 등록권리가 무권리자의 출원임을 이유로 소급하여 무효가 되었다고 하더라도, 재심으로 그 거절결정에 대하여 다툴 수 없다.","특허거절결정에 대한 심판은 특허를 받을 수 있는 권리가 공유인 경우 공유자 전원이 청구하여야 하며, 일부 공유자가 누락된 경우 심판청구기간 이내에는 청구인을 추가하는 보정이 가능하나 심판청구기간이 경과한 후 청구인을 추가하는 보정은 심판청구서의 요지변경에 해당되어 허용되지 않는다.","특허거절결정의 이유 중에 심사관이 통지하지 않은 거절이유가 일부 포함되어 있다 하더라도, 특허거절결정에 대한 심판청구를 기각하는 심결이유가 심사관이 통지하지 아니한 거절이유를 들어 특허거절결정을 유지하는 것이 아니라면, 그 와 같은 사유만으로 심결이 위법하다고는 할 수 없다.",Patent,0.0
특허청구범위에 관한 설명으로 옳지 않은 것은? (다툼이 있는 경우에는 판례에 의함),2,특허청구범위에는 보호를 받고자 하는 사항을 기재한 항이 1 또는 2 이상 있어야 하며 그 청구항은 발명의 상세한 설명에 의하여 뒷받침되어야 한다.,특허청구범위에 기재된 청구항이 복수의 구성요소로 되어 있는 경우 청구항에 기재된 복수의 구성요소를 분해한 후 각각에 대하여 진보성 여부를 판단한다.,특허출원절차에서 심사의 대상이 되는 발명의 기술내용 확정은 특허출원서에 첨부한 명세서의 특허청구범위에 기재된 사항에 의하여 정하여지는 것이 원칙이다.,특허청구범위에 기재된 사항만으로 출원발명의 기술적 구성을 알 수 없는 경우에는 발명의 상세한 설명이나 도면 등 다른 기재부분을 보충하여 기술내용을 확정한다.,Patent,0.0
권리능력에 관한 설명으로 옳지 않은 것은? (다툼이 있는 경우에는 판례에 의함),3,태아는 증여를 받을 능력이 있다.,태아가 사산한 경우에는 정지조건설에 의하든 해제조건설에 의하든 태아의 권리능력은 부인된다.,"동시사망 추정의 경우에 사망의 선후가 관계인들의 법적 지위에 중대한 영향을 미치는 점을 감안할 때 충분하고도 명백한 반증이 없으면, 위 추정은 깨어지지 않는다.",인정사망은 사망의 확증은 없으나 관공서의 보고에 의하여 가족관계등록부에 사망의 기재를 하여 사망한 것으로 추정하는 제도이다.,Patent,0.0
"취소할 수 있는 법률행위의 경우, 추인할 수 있는 날로부터 일정한 사유가 있으면 (이의를 보류하지 않은 것을 전제) 추인한 것으로 보는 경우로서 옳지 않은 것은?",4,취소권자가 취소할 수 있는 법률행위의 상대방으로부터 이행청구를 받은 경우,취소권자가 채권자로서 강제집행한 경우,취소권자가 채권자로서 물적 담보를 취득한 경우,취소권자가 취소할 수 있는 매매계약으로부터 취득한 토지에 지상권을 설정한 경우,Patent,0.0
미성년자가 체결한 계약의 효력에 관한 설명 중 옳은 것은? (다툼이 있는 경우 에는 판례에 의함),4,의사능력 있는 미성년자가 타인으로부터 대리권을 수여받아 부모의 동의 없이 매매계약을 체결한 경우에는 행위무능력을 이유로 그 대리행위를 취소할 수 있다.,미성년자가 법정대리인의 동의를 얻지 않고 체결한 계약은 미성년인 본인이 취소할 수도 있고 추인할 수도 있다.,미성년자가 매매계약을 체결한 후에 미성년인 상태에서 매매대금의 이행을 청구하고 대금을 모두 지급받았다면 법정대리인은 매매계약을 취소할 수 없다.,미성년자 甲이 법정대리인의 동의없이 자신이 소유한 토지를 매도한 후 사망함으로써 乙이 甲을 단독으로 상속하였다면 乙은 매매계약을 취소할 수 있다.,Patent,0.0
"甲은 乙의 범죄사실을 고발하겠다고 乙을 협박하였고, 乙은 이를 무마하기 위해서 자신이 소유하는 X토지를 甲에게 증여하기로 하였다. 이에 대한 설명 중 옳은 것은? (다툼이 있는 경우에는 판례에 의함)",1,"乙은 증여의사 흠결에 따른 증여계약의 무효나 강박을 이유로 한 취소를 주장할 수 있을 뿐이며, 증여계약이 반사회질서의 법률행위로서 무효라는 주장을 할 수 없다.",乙이 甲의 협박 때문에 X토지를 증여한다는 의사표시를 한 것이라면 乙의 증여의 의사표시는 비진의표시에 해당한다.,乙이 甲의 강박에 의해 증여하기로 한 사실만으로도 甲이 乙에게 X토지의 소유권이전등기청구를 하는 것은 권리남용에 해당한다.,증여계약이 甲의 강박에 의해서 이루어진 것이라면 乙은 그 증여계약이 불공정한 법률행위임을 주장할 수 있다.,Patent,1.0
甲은 X토지와 그 위의 Y건물을 소유하고 있다. 무권대리인인 乙이 甲명의로 丙과 X토지와 Y건물에 대한 매매계약을 체결한 후 서류를 위조하여 등기도 이전해 주었다. 이에 관한 설명 중 옳지 않은 것은? (다툼이 있는 경우에는 판례에 의함),4,丙이 계약 당시에 乙에게 대리권이 없음을 알았다면 甲이 무권대리행위를 추인하기 전이라도 丙은 매매계약을 철회할 수 없다.,"甲이 乙에게 무권대리행위를 추인하는 의사표시를 하였더라도, 그러한 추인이 있었음을 알지 못하는 丙은 매매계약을 철회할 수 있다.",甲이 Y건물의 매매계약에 대해서만 추인을 한 경우에 丙이 동의하지 않는다면 그러한 추인은 추인으로서 효력이 없다.,"丙이 계약체결시에 乙이 무권대리인이라는 사실을 알았다면, 丙은 甲에게 무권대리행위의 추인 여부를 최고할 수 없다.",Patent,0.0
"甲은 2007년 3월 5일 자기 소유의 X 토지를 乙에게 매도하는 계약을 체결 하였다. 그런데 乙은 재산상황을 은폐하기 위하여 X 토지에 대한 소유권  이전등기를 친척인 丙 명의로 하기로 미리 丙의 양해를 얻어 두었다. 乙은  甲에게 매매대금의 지급을 완제한 후 소유권이전등기를 丙명의로 해줄 것을 부탁하였고, 甲은 그 부탁대로 丙에게 소유권이전등기를 해주었다. 이에   관한 설명 중 옳지 않은 것은? (다툼이 있는 경우에는 판례에 의함)",3,"乙과 丙 사이에는 명의신탁약정이 있은 것으로 볼 수 있고, 이러한 약정은 무효가 된다.","甲으로부터 丙으로의 소유권이전등기는 무효이므로, X 토지에 대한 소유권자는 여전히 甲이다.","甲으로부터 丙으로의 소유권이전등기는 무효이므로, 乙은 甲에 대하여  매매대금의 반환을 청구할 수 있다.",乙은 甲을 대위하여 丙 명의의 소유권이전등기에 대한 말소등기절차의  이행을 청구할 수 있다.,Patent,0.0
이행지체에 관한 설명 중 옳지 않은 것은? (다툼이 있는 경우에는 판례에 의함),4,"채무이행에 불확정기한을 정한 경우, 기한의 도래를 안 채권자의 최고가 있으면 채무자가 기한의 도래를 알지 못하더라도 그 최고가 도달한 다음날로부터 이행지체가 된다.",당사자가 불확정한 사실이 발생한 때를 이행기로 정한 경우에 그 사실의 발생이 불가능하게 된 때에도 이행기가 도래한 것으로 보아야 한다.,채무이행에 기한의 정함이 없는 경우에는 이행청구를 받은 다음날로부터 이행지체가 된다.,"금전채무의 지연손해금채무는 금전채무의 이행지체로 인한 손해배상채무로서, 지연손해금채무가 확정된 때로부터 이행지체가 된다.",Patent,0.0
특허법 제107조(통상실시권 설정의 재정)에 관한 설명으로 옳지 않은 것은?,1,"특허발명을 실시하려는 자는 그 특허발명이 천재 지변이나 그 밖의 불가항력이 아닌 사유로 계속하여 3년 이상 국내에서 실시되고 있지 아니하고 특허권자, 전용실시권자 또는 통상실시권자와 합리적인 조건으로 협의하였으나 합의가 이루어 지지 아니한 경우, 특허청장에게 재정을 청구할 수 있다.","특허출원일로부터 4년이 지나지 아니한 특허발명에 관하여는, 대통령령으로 정하는 정당한 이유 없이 계속하여 3년 이상 국내에서 실시되고 있지 않다는 것을 근거로 재정을 청구할 수 없다.","특허발명의 실시가 공공의 이익을 위하여 특히 필요하여 하는 재정의 경우, 통상실시권은 국내수요충족을 위한 공급을 주목적으로 하여야 한다.","반도체 기술에 대해서는, 공공의 이익을 위하여 비상업적으로 실시하려는 경우와, 사법적 절차 또는 행정적 절차에 의하여 불공정거래행위로 판정된 사항을 바로잡기 위하여 특허발명을 실시할 필요가 있는 경우에만 재정을 청구할 수 있다.",Patent,1.0
특허에 관한 설명으로 옳지 않은 것은? (다툼이 있으면 판례에 따름),4,"선택발명에 있어서 선행발명을 기재한 선행문헌에 선택발명에 대한 문언적인 기재가 존재하는 경우 외에도, 그 발명이 속하는 기술분야에서 통상의 지식을 가진 자가 선행문헌의 기재 내용과 출원시의 기술 상식에 기초하여 선행문헌으로부터 직접적으로 선택발명의 존재를 인식할 수 있다면 그 선택발명의 신규성은 부정된다.","특허법 제32조(특허를 받을 수 없는 발명)의 공중의 위생을 해칠 우려가 있는 발명인지는 관련 행정법상 필요한 허가를 취득하였는지 여부와는 독립적이므로, 특허심사절차에서 별개로 판단 받아야 한다.","정부는 국방상 필요한 경우 외국에 특허출원하는 것을 금지하거나 발명자ㆍ출원인 및 대리인에게 그 특허출원의 발명을 비밀로 취급하도록 명할 수 있지만, 정부의 허가를 받은 경우에는 외국에 특허출원을 할 수 있다.","특허권의 적극적 권리범위 확인심판에서, 확인대상발명의 실시와 관련된 특정한 물건과의 관계에서 그 물건에 대한 특허권이 소진되었다면 확인대상발명에 대하여 권리범위 확인심판을 제기할 확인의 이익이 없다.",Patent,0.0
통상실시권에 관한 설명으로 옳은 것은? (다툼이 있으면 판례에 따름),3,"특허법 제138조(통상실시권 허락의 심판)에 따라 통상실시권이 설정된 경우, 그 통상실시권이 설정된 특허권에 기한 사업이 계속되고 있는 이상 그 특허권이 소멸하더라도 이미 발생한 통상실시권의 존속에는 영향이 없다.","특허법 제138조(통상실시권 허락의 심판)에 따라 통상실시권이 설정된 경우, 그 통상실시권이 설정된 특허권자는 사업의 계속을 위해 통상실시권을 유보한 채 특허권만 이전할 수 있다.","乙이 발명 A를 사업상 실시하기 위해 특허권자 甲으로부터 통상실시권을 설정 받았다면, 乙이 丙에게 그 실시사업을 양도하는 경우에는 甲의 동의 없이도 위 통상실시권을 함께 양도할 수 있다.",특허법 제107조(통상실시권 설정의 재정)에 따른 통상실시권은 특허권자의 동의가 있는 경우에 이전할 수 있다.,Patent,0.0
특허권 침해 구제에 관한 설명으로 옳지 않은 것은? (다툼이 있으면 판례에 따름),4,특허법은 물건발명에 대한 전용실시권자가 자기의 권리를 침해한 자 또는 침해할 우려가 있는 자에 대하여 그 침해행위를 조성한 물건의 반환을 청구할 수 있음을 명시하지 않는다.,물건 A에 대한 특허권의 전용실시권자 甲은 乙이 아무런 과실 없이 자신의 전용실시권을 침해하는 행위를 하였더라도 乙을 상대로 A를 제조하는데 제공된 기계의 제거를 청구할 수 있다.,"특허권자 甲이 침해자 乙을 상대로 특허법 제128조(손해배상청구권 등)제4항에 따라 乙의 침해로 인한 이익액을 甲자신의 손해액으로 삼는 경우, 손해의 발생과 관련해서는 경업관계 등으로 인하여 손해 발생의 염려 내지 개연성이 있음을 주장ㆍ입증하는 것으로 족하다.","특허법 제128조(손해배상청구권 등)제5항에 따라 통상실시료 상당의 손해배상을 명할 때, 특허법은 법원으로 하여금 특허침해한 자에게 고의 또는 중대한 과실이 없다고 인정할 경우 통상실시료 상당의 손해배상액을 산정함에 있어 고의 또는 중과실이 없다는 사실을 고려할 수 있도록 명시하고 있다.",Patent,0.0
